,ASV,FBV,WEB,WMB,KJV
Aaron,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Abel,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Abigail,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Abraham,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Absalom,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Achan,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Adam,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Adonijah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Amos,Neutral (1),N/A,Neutral (1),Neutral (1),Neutral (1)
Andrew,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Anna,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Apollos,Neutral (1),Neutral (1),N/A,Neutral (1),Neutral (1)
Aquila,Positive (2),Positive (2),N/A,Positive (2),Positive (2)
Asa,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Asher,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Barnabas,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Bartholomew,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Boaz,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Cain,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Cornelius,Neutral (1),N/A,Neutral (1),Neutral (1),Neutral (1)
Cyrus,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Daniel,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
David,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Deborah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Elijah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Elisha,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Elizabeth,N/A,Positive (2),Neutral (1),N/A,N/A
Esau,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Esther,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Eve,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Ezekiel,Positive (2),Positive (2),Neutral (1),Neutral (1),Neutral (1)
Felix,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Gideon,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Hannah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Hiram,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Hosea,N/A,Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Huldah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Isaac,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Isaiah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Jacob,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
James,Neutral (1),Neutral (1),Neutral (1),N/A,Neutral (1)
Japheth,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Jared,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Jairus,Positive (2),Neutral (1),Neutral (1),Positive (2),Positive (2)
Jeremaih,N/A,N/A,N/A,N/A,N/A
Jesus,Neutral (1),Neutral (1),Neutral (1),N/A,Neutral (1)
Job,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Joel,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
John,Neutral (1),Neutral (1),Neutral (1),N/A,Neutral (1)
John the Baptist,Neutral (1),Neutral (1),N/A,N/A,Neutral (1)
Jonah,Neutral (1),N/A,Neutral (1),Neutral (1),Neutral (1)
Jonathan,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Joseph,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Joshua,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Josiah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Judah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Jude,Positive (2),Neutral (1),Neutral (1),Neutral (1),N/A
Junia,Neutral (1),Positive (2),Neutral (1),Positive (2),Positive (2)
Lazarus,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Levi,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Lot,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Luke,Positive (2),Positive (2),Positive (2),Positive (2),N/A
Lydia,Neutral (1),N/A,N/A,Neutral (1),Neutral (1)
Manasseh,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Martha,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Mary,Neutral (1),Neutral (1),Neutral (1),N/A,Neutral (1)
Mary Magdalene,Neutral (1),Neutral (1),Neutral (1),N/A,Neutral (1)
Matthias,Neutral (1),Neutral (1),Neutral (1),N/A,Neutral (1)
Melchizedek,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Positive (2)
Micah,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
Miriam,Neutral (1),Neutral (1),Neutral (1),Neutral (1),Neutral (1)
