chunk,start_citation,text,sentiment,confidence
521,EXO.2.9,"And Pharaoh’s daughter said unto her, Take this child away, and nurse it for me, and I will give thee thy wages. And the woman took the child, and nursed it. And the child grew, and she brought him unto Pharaoh’s daughter, and he became her son. And she called his name Moses, and said, Because I drew him out of the water. And it came to pass in those days, when Moses was grown up, that he went out unto his brethren, and looked on their burdens: and he saw an Egyptian smiting a Hebrew, one of his brethren.",1,0.7932459115982056
522,EXO.2.12,"And he looked this way and that way, and when he saw that there was no man, he smote the Egyptian, and hid him in the sand. And he went out the second day, and, behold, two men of the Hebrews were striving together: and he said to him that did the wrong, Wherefore smitest thou thy fellow? And he said, Who made thee a prince and a judge over us? thinkest thou to kill me, as thou killedst the Egyptian? And Moses feared, and said, Surely the thing is known.",1,0.7263381481170654
523,EXO.2.15,"Now when Pharaoh heard this thing, he sought to slay Moses. But Moses fled from the face of Pharaoh, and dwelt in the land of Midian: and he sat down by a well. Now the priest of Midian had seven daughters: and they came and drew water, and filled the troughs to water their father’s flock. And the shepherds came and drove them away; but Moses stood up and helped them, and watered their flock.",1,0.6427918076515198
525,EXO.2.21,"And Moses was content to dwell with the man: and he gave Moses Zipporah his daughter. And she bare a son, and he called his name Gershom; for he said, I have been a sojourner in a foreign land. And it came to pass in the course of those many days, that the king of Egypt died: and the children of Israel sighed by reason of the bondage, and they cried, and their cry came up unto God by reason of the bondage.",1,0.7802289128303528
526,EXO.2.24,"And God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob. And God saw the children of Israel, and God took knowledge of them. Now Moses was keeping the flock of Jethro his father-in-law, the priest of Midian: and he led the flock to the back of the wilderness, and came to the mountain of God, unto Horeb.",1,0.8236546516418457
527,EXO.3.2,"And the angel of Jehovah appeared unto him in a flame of fire out of the midst of a bush: and he looked, and, behold, the bush burned with fire, and the bush was not consumed. And Moses said, I will turn aside now, and see this great sight, why the bush is not burnt. And when Jehovah saw that he turned aside to see, God called unto him out of the midst of the bush, and said, Moses, Moses. And he said, Here am I.",1,0.5608335733413696
528,EXO.3.5,"And he said, Draw not nigh hither: put off thy shoes from off thy feet, for the place whereon thou standest is holy ground. Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God. And Jehovah said, I have surely seen the affliction of my people that are in Egypt, and have heard their cry by reason of their taskmasters; for I know their sorrows;",1,0.6674790978431702
530,EXO.3.11,"And Moses said unto God, Who am I, that I should go unto Pharaoh, and that I should bring forth the children of Israel out of Egypt? And he said, Certainly I will be with thee; and this shall be the token unto thee, that I have sent thee: when thou hast brought forth the people out of Egypt, ye shall serve God upon this mountain. And Moses said unto God, Behold, when I come unto the children of Israel, and shall say unto them, The God of your fathers hath sent me unto you; and they shall say to me, What is his name? What shall I say unto them?",1,0.6723752021789551
531,EXO.3.14,"And God said unto Moses, I AM THAT I AM: and he said, Thus shalt thou say unto the children of Israel, I AM hath sent me unto you. And God said moreover unto Moses, Thus shalt thou say unto the children of Israel, Jehovah, the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath sent me unto you: this is my name for ever, and this is my memorial unto all generations. Go, and gather the elders of Israel together, and say unto them, Jehovah, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, hath appeared unto me, saying, I have surely visited you, and seen that which is done to you in Egypt:",2,0.5147325396537781
534,EXO.4.1,"And Moses answered and said, But, behold, they will not believe me, nor hearken unto my voice; for they will say, Jehovah hath not appeared unto thee. And Jehovah said unto him, What is that in thy hand? And he said, A rod. And he said, Cast it on the ground. And he cast it on the ground, and it became a serpent; and Moses fled from before it.",1,0.7476575970649719
535,EXO.4.4,"And Jehovah said unto Moses, Put forth thy hand, and take it by the tail: (and he put forth his hand, and laid hold of it, and it became a rod in his hand); that they may believe that Jehovah, the God of their fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath appeared unto thee. And Jehovah said furthermore unto him, Put now thy hand into thy bosom. And he put his hand into his bosom: and when he took it out, behold, his hand was leprous, as white as snow.",1,0.6932913064956665
537,EXO.4.10,"And Moses said unto Jehovah, Oh, Lord, I am not eloquent, neither heretofore, nor since thou hast spoken unto thy servant; for I am slow of speech, and of a slow tongue. And Jehovah said unto him, Who hath made man’s mouth? or who maketh a man dumb, or deaf, or seeing, or blind? is it not I, Jehovah? Now therefore go, and I will be with thy mouth, and teach thee what thou shalt speak.",1,0.6128769516944885
538,EXO.4.13,"And he said, Oh, Lord, send, I pray thee, by the hand of him whom thou wilt send. And the anger of Jehovah was kindled against Moses, and he said, Is there not Aaron thy brother the Levite? I know that he can speak well. And also, behold, he cometh forth to meet thee: and when he seeth thee, he will be glad in his heart. And thou shalt speak unto him, and put the words in his mouth: and I will be with thy mouth, and with his mouth, and will teach you what ye shall do.",1,0.4917981624603271
539,EXO.4.16,"And he shall be thy spokesman unto the people; and it shall come to pass, that he shall be to thee a mouth, and thou shalt be to him as God. And thou shalt take in thy hand this rod, wherewith thou shalt do the signs. And Moses went and returned to Jethro his father-in-law, and said unto him, Let me go, I pray thee, and return unto my brethren that are in Egypt, and see whether they be yet alive. And Jethro said to Moses, Go in peace.",2,0.5112367272377014
540,EXO.4.19,"And Jehovah said unto Moses in Midian, Go, return into Egypt; for all the men are dead that sought thy life. And Moses took his wife and his sons, and set them upon an ass, and he returned to the land of Egypt: and Moses took the rod of God in his hand. And Jehovah said unto Moses, When thou goest back into Egypt, see that thou do before Pharaoh all the wonders which I have put in thy hand: but I will harden his heart and he will not let the people go.",1,0.7307796478271484
