,asv sent,asv conf,fbv sent,fbv conf,web sent,web conf,wmb sent,wmb conf,kjv sent,kjv conf
Aaron,Positive (2),0.656867096821467,Neutral (1),0.7716872590944308,Neutral (1),0.7500362197558085,Neutral (1),0.7506948968046876,Neutral (1),0.7454654452128288
Abel,Neutral (1),0.7299138307571411,Positive (2),0.7776601314544678,Neutral (1),0.7516947587331136,Neutral (1),0.7062535321011263,Neutral (1),0.7557953633368015
Abigail,Neutral (1),0.7444940897134634,Neutral (1),0.7510192531805772,Positive (2),0.8797619938850403,Positive (2),0.781650185585022,Positive (2),0.7397748827934265
Abraham,Positive (2),0.6711572623915143,Negative (3),0.6298956651436655,Positive (2),0.72731732497824,Positive (2),0.7164071240486243,Positive (2),0.6879503902267007
Absalom,Neutral (1),0.728173074622949,Positive (2),0.6759797930717468,Neutral (1),0.7245248817667669,Neutral (1),0.7206863015890121,Neutral (1),0.7153683973818409
Achan,Neutral (1),0.7203244119882584,Neutral (1),0.7827499111493429,Neutral (1),0.7795051634311676,Neutral (1),0.7703823248545328,Neutral (1),0.6971600651741028
Adam,Neutral (1),0.7640694765483632,Negative (3),0.7418634096781412,Positive (2),0.8199118971824646,Negative (3),0.5959981580575308,Neutral (1),0.7421032218706041
Adonijah,Neutral (1),0.7484484367510852,Neutral (1),0.7569092512130737,Neutral (1),0.7877653519312541,Neutral (1),0.7934914188725608,Neutral (1),0.7608019411563873
Amos,Neutral (1),0.6892589032649994,Neutral (1),0.8011221090952555,Positive (2),0.7804857492446899,Neutral (1),0.7481123447418213,Neutral (1),0.7230546474456787
Andrew,Neutral (1),0.7570871843232049,Positive (2),0.8212612569332123,Positive (2),0.834413468837738,Neutral (1),0.773007788441398,Neutral (1),0.7326012601455053
Anna,Neutral (1),0.7996346473693847,Neutral (1),0.7569031834602356,Neutral (1),0.7406339416137109,Neutral (1),0.8345381915569305,Neutral (1),0.8045974850654602
Apollos,Positive (2),0.5702309310436249,Neutral (1),0.6434332609176636,Neutral (1),0.6799713224172592,Neutral (1),0.7328471839427948,Positive (2),0.5850341022014618
Aquila,Neutral (1),0.7088134288787842,Neutral (1),0.7379817962646484,Neutral (1),0.6259383161862692,Neutral (1),0.70770063996315,Neutral (1),0.8695955872535706
Asa,Neutral (1),0.7630604196477819,Positive (2),0.828720211982727,Neutral (1),0.7809030448919848,Neutral (1),0.7608299712612204,Neutral (1),0.7807968242067687
Asher,Neutral (1),0.783461701775354,Neutral (1),0.8142056012595141,Neutral (1),0.8042094686935688,Neutral (1),0.7823294893143669,Neutral (1),0.8378067868096488
Barnabas,Neutral (1),0.7442895836300321,Positive (2),0.7534668786185128,Neutral (1),0.7657435946166515,Neutral (1),0.7361610111068276,Neutral (1),0.735794585002096
Bartholomew,Neutral (1),0.7374874949455261,Neutral (1),0.7585884183645248,Neutral (1),0.8523697406053543,Neutral (1),0.7130415290594101,Neutral (1),0.6727111786603928
Boaz,Neutral (1),0.7807670361117313,Positive (2),0.746325820684433,Positive (2),0.7006060779094696,Neutral (1),0.8173158367474874,Neutral (1),0.7662408281775082
Cain,Neutral (1),0.756669033318758,Positive (2),0.8079885840415955,Neutral (1),0.8395708799362183,Neutral (1),0.8032762408256531,Neutral (1),0.8197726249694824
