chunk,start_citation,text
9452,1CO.1.8,"He will also keep you strong to the very end, so you will be kept right until the day of the Lord Jesus Christ. God is trustworthy who called you to share together in fellowship with his son Jesus Christ our Lord. Brothers and sisters, I plead with you in the name of our Lord Jesus Christ that you all agree and that you're not divided. Instead develop a united attitude and purpose."
2133,JOS.21.18,"Anathoth, and Almon. So in total thirteen towns and their pastures were given to the priests, the descendants of Aaron. As for the remaining families of the children of Kothah from the tribe of Levi, they were given by lot four towns and their pastures from the tribe of Ephraim:"
2771,2SA.12.27,"Joab sent messengers to David to tell him, “I have attacked Rabbah and I have also captured its water supply. So please call up the rest of the army, besiege the town, and capture it. Otherwise I will capture the city, and I will get the credit.” So David called up the rest of the army and marched on Rabbah. He attacked it and captured it."
2306,JDG.14.9,"He scraped out some of the honey into his hands and ate it as he walked. When he got back to his father and mother, he gave some to them and they ate it. But he didn't tell them he'd taken the honey from a lion's carcass. While his father went to visit the woman, Samson held a drinking party there, because this was the custom among high-class young men. When the Philistine people saw him, they arranged for thirty men to accompany him."
209,GEN.24.36,"His wife Sarah has had a son for my master even in her old age, and my master has given him everything he owns. My master made me swear an oath, saying, ‘You must not arrange for my son to marry any daughter of the Canaanite people in whose land I'm living. Instead, go to my family home where my relatives live, and find a wife there for my son Isaac.’"
6447,JER.16.4,"They will die from fatal diseases. No one will mourn for them. Their bodies won't be buried, but will lie on the ground like manure. They will be destroyed by war and famine, and their bodies will be food for birds of prey and wild animals. This is what the Lord says: Don't enter a home where people are having a funeral meal. Don't visit them to mourn or to offer condolences, for I have taken away my peace, my trustworthy love, and my mercy from these people, declares the Lord. Everyone, from the most important to the least, will die in this country. They will not be buried or mourned; there will be no rites for the dead such as cutting oneself or shaving of heads."
7834,MAT.12.12,"“Don't you think a human being is worth much more than a sheep? So yes, you are allowed to do good on the Sabbath.” Then he said to the man, “Hold out your hand.” The man held out his hand, and it was healed, just as healthy as the other hand. But the Pharisees went out and plotted how to kill Jesus."
7567,NAM.2.1,"The one who scatters has come to attack you! Guard the fortresses! Watch the roads! Get yourselves ready! Call every soldier out! (For the Lord will restore the splendor of the people of Jacob as he will restore the splendor of Israel, for invaders have plundered them, and destroyed their land.) The shields of his chief soldiers are red; the warriors wear scarlet. His chariots flash like fire in the sunlight as he prepares for battle. Spears with their wooden shafts are held up and shaken."
169,GEN.20.12,"“Anyway, she really is my sister, the daughter of my father but not my mother, and I married her. Since my God made me move far away from my family home, I told her, ‘If you really love me, then wherever you go with me you must tell people: He's my brother.’” Then Abimelech gave Abraham gifts of sheep, cattle, and male and female slaves, and returned his wife Sarah to him."
3436,1CH.2.2,"Dan, Joseph, Benjamin, Naphtali, Gad, and Asher. The sons of Judah: Er, Onan, and Shelah—these three the daughter of Shua, a Canaanite woman, bore to him. Er, Judah's firstborn, was wicked in the sight of the Lord, so he put him to death. Tamar was Judah's daughter-in-law, and she bore him Perez and Zerah. Judah had a total of five sons."
