chunk,start_citation,text,sentiment,confidence
521,EXO.2.9,"“Take this baby boy and nurse him for me,” Pharaoh's daughter told his mother. “I will pay you myself.” So his mother took him home and nursed him. When the boy was older she took him to Pharaoh's daughter, who adopted him as her son. She called him Moses, because she said, “I pulled him out of the water.” Later, when Moses had grown up, he went to visit his people, the Hebrews. He saw them doing hard labor. He also saw an Egyptian beating a Hebrew, one of his own people.",1,0.8076080679893494
522,EXO.2.12,"He looked all around to make sure no one was watching, and then he killed the Egyptian and buried his body in the sand. The following day he went back and he saw two Hebrews fighting with each other. He said to the one at fault, “Why are you beating one of your own people?” “Who put you in charge to judge us?” the man replied. “Are you going to kill me like you did the Egyptian?” Moses became frightened at this, and said to himself, “People know what I've done!”",3,0.7874516844749451
523,EXO.2.15,"When Pharaoh found out, he tried to have Moses killed, but Moses ran away from Pharaoh and went to live in Midian.
    One day as he was sitting by a well, the Midianite priest's seven daughters came to fetch water to fill up the troughs so their father's flock could drink. Some shepherds arrived and chased them off, but Moses intervened and rescued them, and watered their flock.",1,0.6168051362037659
525,EXO.2.21,"Moses agreed to stay with the man, who arranged for his daughter Zipporah to marry Moses. She had a son, and Moses named him Gershom, for he said, “I'm an exile living in a foreign country.” Years later, the king of Egypt died. But the Israelites were still groaning under their hard labor. Their cries for help because of their hardship reached God.",1,0.7162758111953735
526,EXO.2.24,"God heard their groans, and recalled his agreement with Abraham, Isaac, and Jacob. God also looked sympathetically on the Israelites, and was concerned for them. Moses was a shepherd, looking after the flock of Jethro, his father-in-law, the Midianite priest. He led the flock far into the wilderness until he came to God's mountain, Mount Horeb.",1,0.6842846870422363
527,EXO.3.2,"There the angel of the Lord appeared to him in a flame of fire from inside a bush. Moses looked carefully and saw that though the bush was on fire, it wasn't being burned up. “Let me go over and take a look,” Moses said to himself. “It's very odd to see a bush that's not burning up.” When the Lord saw that Moses was coming to take a look, God called to him from inside the bush, “Moses! Moses!”
    “I'm here,” Moses replied.",1,0.7523664832115173
528,EXO.3.5,"“Don't come any closer!” God told him. “Take off your sandals because you're standing on holy ground.” Then he said, “I am the God of your father, the God of Abraham, the God of Isaac, and the God of Jacob.” Moses covered his face, because he was afraid to look at God. “I'm completely aware of the misery of my people in Egypt,” the Lord told him. “I have heard them crying out because of their taskmasters. I know how much they're suffering.",1,0.616860568523407
530,EXO.3.11,"But Moses said to God, “Why me? I'm a nobody! I couldn't go to Pharaoh and lead the Israelites out of Egypt!” “I'll be with you,” the Lord replied, “and this will be the sign that it is really me who is sending you: when you have led the people out of Egypt, you will worship God at this very mountain.” Then Moses said to God, “Look! If I were to go to the Israelites and say to them, ‘The God of your fathers has sent me to you,’ and they ask me, ‘What is his name?’ —then what should I tell them?”",1,0.6316226124763489
531,EXO.3.14,"God replied to Moses, “‘I Am’ is who I am. Tell the Israelites this: ‘I Am’ has sent me to you.” Then God said to Moses, “Tell the Israelites, ‘The Lord—the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob—has sent me to you. This is my name forever, the name you are to call me for all generations to come.’ Go, and call all the elders of Israel to meet with you. Tell them, ‘The Lord, the God of your fathers, has appeared to me—the God of Abraham, Isaac, and Jacob. He said, “I have paid close attention to what's been happening to you in Egypt.",1,0.5310250520706177
534,EXO.4.1,"“But what if they don't believe me or listen to what I say?” Moses asked. “They could say, ‘The Lord didn't appear to you.’” The Lord asked him, “What are you holding in your hand?”
    “A walking stick,” Moses replied. “Throw it on the ground,” he told Moses. So Moses did. It turned into a snake and Moses ran away from it.",1,0.7129287719726562
535,EXO.4.4,"“Reach out and grab hold of it by its tail,” the Lord told Moses. Moses did so and it turned back into a walking stick in his hand. “You are to do this so that they will believe that I the Lord did appear to you, the God of their fathers, the God of Abraham, Isaac, and Jacob.” Then the Lord told him, “Put your hand inside your clothes close to your chest.” So Moses did as he was told. When he took his hand out, it was white like snow with a skin disease.",1,0.8322363495826721
536,EXO.4.7,"“Now put your hand back inside your clothes,” the Lord said. Moses did so. When he took it out again, his hand had returned to normal. “If they don't believe you and they're not convinced by the first sign, they'll believe because of the second sign,” the Lord explained. “But if they still don't believe you or listen to you because of these two signs, then you are to take some water from the Nile and pour it out on the ground. The Nile water will turn into blood on the ground.”",1,0.8723335266113281
537,EXO.4.10,"Then Moses said to the Lord, “Please excuse me, but I'm not someone who is good with words—not in the past, and not from the time you have been speaking with me, your servant. My speech is slow and I don't say things well.” “Who gave people mouths?” the Lord asked him. “Who makes people deaf or dumb, able to see or blind? It's I, the Lord, who does that. Now go, and I myself will be your mouth, and I will tell you what you are to say.”",3,0.5589519739151001
538,EXO.4.13,"“Please, Lord, send someone else!” Moses responded. The Lord got angry with Moses, and told him, “There's your brother Aaron, the Levite. I know he speaks well. He's on his way to meet you, and he'll be very happy to see you. Speak to him and tell him what to say. I will be your mouth and his mouth, and I will tell you what you are to do.",1,0.549663245677948
539,EXO.4.16,"Aaron will speak on your behalf to the people, as if he was your mouth, and you will be in the place of God to him. Make sure to take your walking stick with you so you can use it to do the signs.” Then Moses returned to Jethro his father-in-law and told him, “Please allow me to go back to my own people in Egypt so I can see if any of them are still alive.”
    “Go with my blessing,” Jethro replied.",1,0.5912794470787048
540,EXO.4.19,"While Moses was in Midian, the Lord told him, “Go back to Egypt because all those who wanted to kill you have died.” Moses put his wife and sons on a donkey and went back to Egypt, carrying the walking stick that God had used to perform miracles. The Lord told Moses, “When you get back to Egypt, make sure to go to Pharaoh and carry out the miracles I've given you to do. I will make him stubborn and he will not let the people go.",1,0.6651139855384827
541,EXO.4.22,"This is what you are to tell Pharaoh, ‘This is what the Lord says. Israel is my firstborn son. I ordered you to let my son go so he can worship me. But you refused to release him, so I will now kill your firstborn son.’” But while they were on their way the Lord came to the place where they were staying, wanting to kill Moses.",3,0.6397020816802979
542,EXO.4.25,"However, Zipporah used a flint knife to cut off her son's foreskin. She touched his feet with it, and said to him, “You are a blood-husband to me.” (Calling him a blood-husband referred to circumcision.) After this the Lord left Moses alone. The Lord had told Aaron, “Go and meet Moses in the desert.” So Aaron went and met Moses at the mountain of God and greeted him with a kiss.",1,0.8656529188156128
543,EXO.4.28,"Then Moses explained to Aaron everything the Lord had sent him to say and all the miracles he had ordered him to do. Moses and Aaron traveled to Egypt. There they had all the Israelite elders gather together. Aaron shared with them everything the Lord had told Moses, and Moses carried out the miracles so they could see them.",1,0.7148125767707825
544,EXO.4.31,"The Israelites were convinced. When they heard that the Lord had come to them, and that he had been touched by their suffering, they bowed their heads and worshiped. After this Moses and Aaron went to Pharaoh and told him, “This is what the Lord, the God of Israel says, ‘Let my people go so they can hold a religious festival for me in the desert.’” “Who is this ‘Lord’ that I should listen to his request to let Israel go?” Pharaoh replied. “I don't know the Lord and I certainly won't let Israel leave!”",1,0.5421193242073059
545,EXO.5.3,"“The God of the Hebrews came to us,” they added. “Please allow us to go a three-day journey into the desert and offer sacrifices to the Lord our God. Otherwise he'll kill us by disease or by the sword.” “Moses and Aaron, why are you trying to take people away from their assigned labor?” Pharaoh asked. “Get back to work!” he ordered. “Look here,” he went on. “There are many of your people here in our country and you are preventing them from doing their assigned labor.”",1,0.5715420246124268
550,EXO.5.18,"Now get out of here and go back to work! You won't be given any straw but you'll still have to produce the full quota of bricks!” The Israelite supervisors realized they were in trouble when they were told, “You must not reduce the daily production of bricks.” They went over to Moses and Aaron who were waiting for them after their meeting with Pharaoh,",3,0.5419458746910095
551,EXO.5.21,"and said, “May the Lord see what you have done and judge you accordingly! You have made us like a bad smell to Pharaoh and his officials. You have put a sword in their hands to kill us!” Moses went back to the Lord and complained, “Why have you caused all this trouble for your own people, Lord? Was this why you sent me? Ever since I went to Pharaoh to speak for you, he has been even harder on your people, and you haven't done anything to save them!”",3,0.8969264030456543
552,EXO.6.1,"But the Lord told Moses, “Now you'll see what I'm going to do to Pharaoh. Using my great strength I will force him to let them go; because of my power he will send them out from his country.” God spoke to Moses and told him, “I am Yahweh! I revealed myself as God Almighty to Abraham, to Isaac, and to Jacob, but they didn't know my name, ‘Yahweh.’",1,0.6368306279182434
554,EXO.6.7,"I will make you my own people. Then you will know that I am the Lord your God, who rescued you from slavery in Egypt. I will take you to the land that I solemnly promised to give to Abraham, Isaac, and Jacob. I will give it to you to own. I am the Lord!’” Moses explained this to the Israelites but they did not listen to him, because they were so discouraged and because of the hard labor they were forced to do.",2,0.7198837995529175
555,EXO.6.10,"Then the Lord said to Moses, “Go and speak to Pharaoh, king of Egypt. Tell him to let the Israelites leave his country.” But Moses replied, “Even my own people don't listen to me. Why would Pharaoh listen to me, especially since I'm such a poor speaker?”",3,0.617676854133606
556,EXO.6.13,"But the Lord spoke to Moses and Aaron, and told them what to do regarding the people of Israel and Pharaoh, king of Egypt, in order to bring the Israelites out of Egypt. These were the Israelite family heads. The sons of Reuben, the firstborn son of Israel, were Hanok and Pallu, Hezron and Karmi. These were the families of Reuben. The sons of Simeon were Jemuel, Jamin, Ohad, Jachin, Zohar, and Shaul (the son of a Canaanite woman). These were the families of Simeon.",1,0.8966005444526672
558,EXO.6.19,"The sons of Merari were Mahli and Mushi. These were the families of the Levites according to their genealogical records. Amram married his father's sister Jochebed, and she had their sons Aaron and Moses. Amram lived for 137 years. The sons of Izhar were Korah, Nepheg, and Zichri.",1,0.9205435514450072
560,EXO.6.25,"Eleazar, son of Aaron, married one of the daughters of Putiel, and she had their son Phinehas. These are the ancestors of the Levite families, listed according to their clans. Eleazar son of Aaron married one of the daughters of Putiel, and she gave birth to his son, Phinehas. These are the heads of the Levite families, listed by family. Aaron and Moses mentioned here are the ones the Lord told, “Lead the Israelites out of Egypt, divided up in their respective tribes.” Moses and Aaron were also the ones who went to speak with Pharaoh, king of Egypt, about the Israelites leaving Egypt.",1,0.902631938457489
561,EXO.6.28,"When the Lord spoke to Moses in Egypt, he said to him, “I am the Lord. Tell Pharaoh, king of Egypt, all that I tell you.” But Moses replied, “I'm not a good speaker—why would Pharaoh listen to me?”",1,0.6147757768630981
562,EXO.7.1,"The Lord told Moses, “Look, I will make you seem like God to Pharaoh, and your brother Aaron will be your prophet. You are to repeat everything that I tell you to say, and your brother Aaron must repeat it to Pharaoh so that he will let the Israelites leave his country. But I will give Pharaoh a stubborn attitude, and though I will perform many signs and wonders in Egypt, he won't listen to you.",1,0.760729193687439
563,EXO.7.4,"Then I will attack Egypt, imposing heavy punishments on them, and I will lead out by their tribes my people the Israelites. In this way the Egyptians will know that I am the Lord—when I take action against Egypt and lead the Israelites out of the country.” Moses and Aaron did exactly as the Lord had ordered.",1,0.6795241832733154
564,EXO.7.7,"Moses was eighty and Aaron was eighty-three when they went and spoke to Pharaoh. The Lord told Moses and Aaron, “When Pharaoh asks you, ‘Why don't you perform a miracle, then?’ tell Aaron, ‘Take your walking stick and throw it down in front of Pharaoh,’ and it will turn into a snake.”",1,0.8550578355789185
