chunk,start_citation,text,sentiment,confidence
521,EXO.2.9,"Pharaoh’s daughter said to her, “Take this child away, and nurse him for me, and I will give you your wages.”
    The woman took the child, and nursed it. The child grew, and she brought him to Pharaoh’s daughter, and he became her son. She named him Moses, and said, “Because I drew him out of the water.” In those days, when Moses had grown up, he went out to his brothers and saw their burdens. He saw an Egyptian striking a Hebrew, one of his brothers.",1,0.861825168132782
522,EXO.2.12,"He looked this way and that way, and when he saw that there was no one, he killed the Egyptian, and hid him in the sand. He went out the second day, and behold, two men of the Hebrews were fighting with each other. He said to him who did the wrong, “Why do you strike your fellow?” He said, “Who made you a prince and a judge over us? Do you plan to kill me, as you killed the Egyptian?”
    Moses was afraid, and said, “Surely this thing is known.”",3,0.6308823823928833
523,EXO.2.15,"Now when Pharaoh heard this thing, he sought to kill Moses. But Moses fled from the face of Pharaoh, and lived in the land of Midian, and he sat down by a well. Now the priest of Midian had seven daughters. They came and drew water, and filled the troughs to water their father’s flock. The shepherds came and drove them away; but Moses stood up and helped them, and watered their flock.",1,0.5764713883399963
525,EXO.2.21,"Moses was content to dwell with the man. He gave Moses Zipporah, his daughter. She bore a son, and he named him Gershom, for he said, “I have lived as a foreigner in a foreign land.” In the course of those many days, the king of Egypt died, and the children of Israel sighed because of the bondage, and they cried, and their cry came up to God because of the bondage.",1,0.7864324450492859
526,EXO.2.24,"God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob. God saw the children of Israel, and God understood. Now Moses was keeping the flock of Jethro, his father-in-law, the priest of Midian, and he led the flock to the back of the wilderness, and came to God’s mountain, to Horeb.",1,0.7385045289993286
527,EXO.3.2,"The LORD’s angel appeared to him in a flame of fire out of the middle of a bush. He looked, and behold, the bush burned with fire, and the bush was not consumed. Moses said, “I will go now, and see this great sight, why the bush is not burned.” When the LORD saw that he came over to see, God called to him out of the middle of the bush, and said, “Moses! Moses!”
    He said, “Here I am.”",2,0.5241546034812927
528,EXO.3.5,"He said, “Don’t come close. Take off your sandals, for the place you are standing on is holy ground.” Moreover he said, “I am the God of your father, the God of Abraham, the God of Isaac, and the God of Jacob.”
    Moses hid his face because he was afraid to look at God. The LORD said, “I have surely seen the affliction of my people who are in Egypt, and have heard their cry because of their taskmasters, for I know their sorrows.",1,0.6517746448516846
530,EXO.3.11,"Moses said to God, “Who am I, that I should go to Pharaoh, and that I should bring the children of Israel out of Egypt?” He said, “Certainly I will be with you. This will be the token to you, that I have sent you: when you have brought the people out of Egypt, you shall serve God on this mountain.” Moses said to God, “Behold, when I come to the children of Israel, and tell them, ‘The God of your fathers has sent me to you,’ and they ask me, ‘What is his name?’ what should I tell them?”",1,0.592393159866333
531,EXO.3.14,"God said to Moses, “I AM WHO I AM,” and he said, “You shall tell the children of Israel this: ‘I AM has sent me to you.’” God said moreover to Moses, “You shall tell the children of Israel this, ‘The LORD, the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has sent me to you.’ This is my name forever, and this is my memorial to all generations. Go and gather the elders of Israel together, and tell them, ‘The LORD, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has appeared to me, saying, “I have surely visited you, and seen that which is done to you in Egypt.",2,0.5954663753509521
534,EXO.4.1,"Moses answered, “But, behold, they will not believe me, nor listen to my voice; for they will say, ‘The LORD has not appeared to you.’” The LORD said to him, “What is that in your hand?”
    He said, “A rod.” He said, “Throw it on the ground.”
    He threw it on the ground, and it became a snake; and Moses ran away from it.",1,0.6829955577850342
535,EXO.4.4,"The LORD said to Moses, “Stretch out your hand, and take it by the tail.”
    He stretched out his hand, and took hold of it, and it became a rod in his hand. “This is so that they may believe that the LORD, the God of their fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has appeared to you.” The LORD said furthermore to him, “Now put your hand inside your cloak.”
    He put his hand inside his cloak, and when he took it out, behold, his hand was leprous, as white as snow.",1,0.6955167055130005
537,EXO.4.10,"Moses said to the LORD, “O Lord, I am not eloquent, neither before now, nor since you have spoken to your servant; for I am slow of speech, and of a slow tongue.” The LORD said to him, “Who made man’s mouth? Or who makes one mute, or deaf, or seeing, or blind? Isn’t it I, the LORD? Now therefore go, and I will be with your mouth, and teach you what you shall speak.”",1,0.6389530301094055
538,EXO.4.13,"Moses said, “Oh, Lord, please send someone else.” The LORD’s anger burned against Moses, and he said, “What about Aaron, your brother, the Levite? I know that he can speak well. Also, behold, he is coming out to meet you. When he sees you, he will be glad in his heart. You shall speak to him, and put the words in his mouth. I will be with your mouth, and with his mouth, and will teach you what you shall do.",1,0.6300244331359863
539,EXO.4.16,"He will be your spokesman to the people. It will happen that he will be to you a mouth, and you will be to him as God. You shall take this rod in your hand, with which you shall do the signs.” Moses went and returned to Jethro his father-in-law, and said to him, “Please let me go and return to my brothers who are in Egypt, and see whether they are still alive.”
    Jethro said to Moses, “Go in peace.”",2,0.5104095935821533
540,EXO.4.19,"The LORD said to Moses in Midian, “Go, return into Egypt; for all the men who sought your life are dead.” Moses took his wife and his sons, and set them on a donkey, and he returned to the land of Egypt. Moses took God’s rod in his hand. The LORD said to Moses, “When you go back into Egypt, see that you do before Pharaoh all the wonders which I have put in your hand, but I will harden his heart and he will not let the people go.",1,0.7592142224311829
541,EXO.4.22,"You shall tell Pharaoh, ‘The LORD says, Israel is my son, my firstborn, and I have said to you, “Let my son go, that he may serve me;” and you have refused to let him go. Behold, I will kill your firstborn son.’” On the way at a lodging place, the LORD met Moses and wanted to kill him.",3,0.736035168170929
542,EXO.4.25,"Then Zipporah took a flint, and cut off the foreskin of her son, and cast it at his feet; and she said, “Surely you are a bridegroom of blood to me.” So he let him alone. Then she said, “You are a bridegroom of blood,” because of the circumcision. The LORD said to Aaron, “Go into the wilderness to meet Moses.”
    He went, and met him on God’s mountain, and kissed him.",1,0.8482836484909058
543,EXO.4.28,"Moses told Aaron all the LORD’s words with which he had sent him, and all the signs with which he had instructed him. Moses and Aaron went and gathered together all the elders of the children of Israel. Aaron spoke all the words which the LORD had spoken to Moses, and did the signs in the sight of the people.",1,0.8711027503013611
544,EXO.4.31,"The people believed, and when they heard that the LORD had visited the children of Israel, and that he had seen their affliction, then they bowed their heads and worshiped. Afterward Moses and Aaron came, and said to Pharaoh, “This is what the LORD, the God of Israel, says, ‘Let my people go, that they may hold a feast to me in the wilderness.’” Pharaoh said, “Who is the LORD, that I should listen to his voice to let Israel go? I don’t know the LORD, and moreover I will not let Israel go.”",1,0.658616840839386
545,EXO.5.3,"They said, “The God of the Hebrews has met with us. Please let us go three days’ journey into the wilderness, and sacrifice to the LORD, our God, lest he fall on us with pestilence, or with the sword.” The king of Egypt said to them, “Why do you, Moses and Aaron, take the people from their work? Get back to your burdens!” Pharaoh said, “Behold, the people of the land are now many, and you make them rest from their burdens.”",1,0.6865229606628418
550,EXO.5.18,"Go therefore now, and work; for no straw shall be given to you; yet you shall deliver the same number of bricks!” The officers of the children of Israel saw that they were in trouble when it was said, “You shall not diminish anything from your daily quota of bricks!” They met Moses and Aaron, who stood along the way, as they came out from Pharaoh.",1,0.701294481754303
