chunk,start_citation,text
6617,JER.36.9,"Now in the fifth year of Jehoiakim the son of Josiah, king of Judah, in the ninth month, all the people in Jerusalem and all the people who came from the cities of Judah to Jerusalem, proclaimed a fast before the LORD. Then Baruch read the words of Jeremiah from the book in the LORD’s house, in the room of Gemariah the son of Shaphan the scribe, in the upper court, at the entry of the new gate of the LORD’s house, in the ears of all the people. When Micaiah the son of Gemariah, the son of Shaphan, had heard out of the book all the LORD’s words,"
10689,LUK.17.15,"One of them, when he saw that he was healed, turned back, glorifying God with a loud voice. He fell on his face at Jesus’ feet, giving him thanks; and he was a Samaritan. Jesus answered, “Weren’t the ten cleansed? But where are the nine?"
2838,2SA.19.3,"The people sneaked into the city that day, as people who are ashamed steal away when they flee in battle. The king covered his face, and the king cried with a loud voice, “My son Absalom, Absalom, my son, my son!” Joab came into the house to the king, and said, “Today you have shamed the faces of all your servants who today have saved your life, and the lives of your sons and of your daughters, and the lives of your wives, and the lives of your concubines;"
12159,HEB.7.16,"who has been made, not after the law of a fleshly commandment, but after the power of an endless life; for it is testified,
  “You are a priest forever,
    according to the order of Melchizedek.” For there is an annulling of a foregoing commandment because of its weakness and uselessness"
10070,MAT.20.17,"As Jesus was going up to Jerusalem, he took the twelve disciples aside, and on the way he said to them, “Behold, we are going up to Jerusalem, and the Son of Man will be delivered to the chief priests and scribes, and they will condemn him to death, and will hand him over to the Gentiles to mock, to scourge, and to crucify; and the third day he will be raised up.”"
5928,ISA.7.2,"David’s house was told, “Syria is allied with Ephraim.” His heart trembled, and the heart of his people, as the trees of the forest tremble with the wind. Then the LORD said to Isaiah, “Go out now to meet Ahaz, you, and Shearjashub your son, at the end of the conduit of the upper pool, on the highway of the fuller’s field. Tell him, ‘Be careful, and keep calm. Don’t be afraid, neither let your heart be faint because of these two tails of smoking torches, for the fierce anger of Rezin and Syria, and of the son of Remaliah."
162,GEN.19.29,"When God destroyed the cities of the plain, God remembered Abraham, and sent Lot out of the middle of the overthrow, when he overthrew the cities in which Lot lived. Lot went up out of Zoar, and lived in the mountain, and his two daughters with him; for he was afraid to live in Zoar. He lived in a cave with his two daughters. The firstborn said to the younger, “Our father is old, and there is not a man in the earth to come in to us in the way of all the earth."
2828,2SA.18.6,"So the people went out into the field against Israel; and the battle was in the forest of Ephraim. The people of Israel were struck there before David’s servants, and there was a great slaughter there that day of twenty thousand men. For the battle was there spread over the surface of all the country, and the forest devoured more people that day than the sword devoured."
1137,LEV.23.9,"The LORD spoke to Moses, saying, “Speak to the children of Israel, and tell them, ‘When you have come into the land which I give to you, and shall reap its harvest, then you shall bring the sheaf of the first fruits of your harvest to the priest. He shall wave the sheaf before the LORD, to be accepted for you. On the next day after the Sabbath the priest shall wave it."
6418,JER.12.5,"“If you have run with the footmen,
    and they have wearied you,
    then how can you contend with horses?
  Though in a land of peace you are secure,
    yet how will you do in the pride of the Jordan? For even your brothers, and the house of your father,
    even they have dealt treacherously with you!
    Even they have cried aloud after you!
  Don’t believe them,
    though they speak beautiful words to you. “I have forsaken my house.
    I have cast off my heritage.
    I have given the dearly beloved of my soul into the hand of her enemies."
