chunk,start_citation,text
3771,ISA.58.14,"then you will delight yourself in the LORD,
    and I will make you to ride on the high places of the earth,
    and I will feed you with the heritage of Jacob your father;”
    for the LORD’s mouth has spoken it. Behold, the LORD’s hand is not shortened, that it can’t save;
    nor his ear dull, that it can’t hear. But your iniquities have separated you and your God,
    and your sins have hidden his face from you,
    so that he will not hear."
8352,LUK.3.31,"the son of Maleah, the son of Manah, the son of Mattathah, the son of Nathan, the son of David, the son of Jesse, the son of Obed, the son of Boaz, the son of Salmon, the son of Nahshon, the son of Amminadab, the son of Ram, the son of Hezron, the son of Perez, the son of Judah,"
4610,EZK.39.23,"The nations will know that the house of Israel went into captivity for their iniquity, because they trespassed against me, and I hid my face from them; so I gave them into the hand of their adversaries, and they all fell by the sword. I did to them according to their uncleanness and according to their transgressions. I hid my face from them. “Therefore the Lord GOD says: ‘Now I will reverse the captivity of Jacob and have mercy on the whole house of Israel. I will be jealous for my holy name."
2772,2SA.15.12,"Absalom sent for Ahithophel the Gilonite, David’s counselor, from his city, even from Giloh, while he was offering the sacrifices. The conspiracy was strong, for the people increased continually with Absalom. A messenger came to David, saying, “The hearts of the men of Israel are after Absalom.” David said to all his servants who were with him at Jerusalem, “Arise! Let’s flee, or else none of us will escape from Absalom. Hurry to depart, lest he overtake us quickly and bring down evil on us, and strike the city with the edge of the sword.”"
7412,1CH.26.31,"Of the Hebronites, Jerijah was the chief of the Hebronites, according to their generations by fathers’ households. They were sought for in the fortieth year of the reign of David, and mighty men of valor were found among them at Jazer of Gilead. His relatives, men of valor, were two thousand seven hundred, heads of fathers’ households, whom King David made overseers over the Reubenites, the Gadites, and the half-tribe of the Manassites, for every matter pertaining to God and for the affairs of the king. Now the children of Israel after their number, the heads of fathers’ households and the captains of thousands and of hundreds, and their officers who served the king in any matter of the divisions which came in and went out month by month throughout all the months of the year—of every division were twenty-four thousand."
9690,GAL.1.17,"nor did I go up to Jerusalem to those who were emissaries before me, but I went away into Arabia. Then I returned to Damascus. Then after three years I went up to Jerusalem to visit Peter, and stayed with him fifteen days. But of the other emissaries I saw no one except Jacob, the Lord’s brother."
3621,ISA.36.20,"Who are they among all the gods of these countries that have delivered their country out of my hand, that the LORD should deliver Jerusalem out of my hand?’” But they remained silent, and said nothing in reply, for the king’s commandment was, “Don’t answer him.” Then Eliakim the son of Hilkiah, who was over the household, and Shebna the scribe, and Joah, the son of Asaph the recorder, came to Hezekiah with their clothes torn, and told him the words of Rabshakeh."
3713,ISA.48.12,"“Listen to me, O Jacob,
    and Israel my called:
  I am he.
    I am the first.
    I am also the last. Yes, my hand has laid the foundation of the earth,
    and my right hand has spread out the heavens.
    when I call to them, they stand up together. “Assemble yourselves, all of you, and hear!
    Who among them has declared these things?
  He whom the LORD loves will do what he likes to Babylon,
    and his arm will be against the Kasdim."
2470,1SA.13.10,"It came to pass that as soon as he had finished offering the burnt offering, behold, Samuel came; and Saul went out to meet him, that he might greet him. Samuel said, “What have you done?”
    Saul said, “Because I saw that the people were scattered from me, and that you didn’t come within the days appointed, and that the Philistines assembled themselves together at Michmash, therefore I said, ‘Now the Philistines will come down on me to Gilgal, and I haven’t entreated the favor of the LORD.’ I forced myself therefore, and offered the burnt offering.”"
3087,1KI.18.5,"Ahab said to Obadiah, “Go through the land, to all the springs of water, and to all the brooks. Perhaps we may find grass and save the horses and mules alive, that we not lose all the animals.” So they divided the land between them to pass throughout it. Ahab went one way by himself, and Obadiah went another way by himself. As Obadiah was on the way, behold, Elijah met him. He recognized him, and fell on his face, and said, “Is it you, my lord Elijah?”"
