citation,verse
JOB.19.17,"My breath is strange to my wife,
  And my supplication to the children of mine own mother."
PSA.32.2,"Blessed is he whose transgression is forgiven,
  Whose sin is covered."
LUK.13.29,"And they shall come from the east and west, and from the north and south, and shall sit down in the kingdom of God."
DEU.1.31,"and in the wilderness, where thou hast seen how that Jehovah thy God bare thee, as a man doth bear his son, in all the way that ye went, until ye came unto this place."
ZEP.1.2,"I will utterly consume all things from off the face of the ground, saith Jehovah."
JER.13.27,"I have seen thine abominations, even thine adulteries, and thy neighings, the lewdness of thy whoredom, on the hills in the field. Woe unto thee, O Jerusalem! thou wilt not be made clean; how long shall it yet be?"
1CO.15.30,why do we also stand in jeopardy every hour?
NUM.7.8,"and four wagons and eight oxen he gave unto the sons of Merari, according unto their service, under the hand of Ithamar the son of Aaron the priest."
2KI.23.22,"Surely there was not kept such a passover from the days of the judges that judged Israel, nor in all the days of the kings of Israel, nor of the kings of Judah;"
LEV.2.1,"And when any one offereth an oblation of a meal-offering unto Jehovah, his oblation shall be of fine flour; and he shall pour oil upon it, and put frankincense thereon:"
