citation,verse
PHP.4.10,I'm so happy in the Lord that you've at last thought about me again—realizing that you were concerned about me before but you couldn't do anything about it.
JDG.14.1,"One day Samson went to Timnah, where a young Philistine woman attracted his attention."
LUK.24.15,"As they discussed and debated, Jesus came up and fell into step with them."
MAT.14.16,"But Jesus told them, “They don't need to leave. You give them something to eat!”"
ACT.2.12,They were all amazed and confused. “What does this mean?” they asked each other.
LEV.24.11,"The Israelite woman's son cursed the name of the Lord. So they took him before Moses. (His mother's name was Shelomith, daughter of Dibri, from the tribe of Dan.)"
PRO.1.1,"The proverbs of Solomon, son of David, king of Israel."
ACT.4.1,"While they were talking to the people, the priests, the captain of the Temple guard, and the Sadducees came up to them."
MAT.26.20,When evening came he sat down to eat with the Twelve.
SNG.5.16,"His mouth is the sweetest ever; he is totally desirable! This is my love, my friend, women of Jerusalem."
