citation,verse
JER.13.14,"And I will dash them one against another, even the fathers and the sons together, saith the LORD: I will not pity, nor spare, nor have mercy, but destroy them."
1KI.8.61,"Let your heart therefore be perfect with the LORD our God, to walk in his statutes, and to keep his commandments, as at this day."
1KI.21.13,"And there came in two men, children of Belial, and sat before him: and the men of Belial witnessed against him, even against Naboth, in the presence of the people, saying, Naboth did blaspheme God and the king. Then they carried him forth out of the city, and stoned him with stones, that he died."
NUM.22.26,"And the angel of the LORD went further, and stood in a narrow place, where was no way to turn either to the right hand or to the left."
DEU.17.7,"The hands of the witnesses shall be first upon him to put him to death, and afterward the hands of all the people. So thou shalt put the evil away from among you."
JHN.5.30,"I can of mine own self do nothing: as I hear, I judge: and my judgment is just; because I seek not mine own will, but the will of the Father which hath sent me."
GEN.9.27,"God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant."
LEV.8.3,And gather thou all the congregation together unto the door of the tabernacle of the congregation.
ISA.29.5,"Moreover the multitude of thy strangers shall be like small dust, and the multitude of the terrible ones shall be as chaff that passeth away: yea, it shall be at an instant suddenly."
EZK.26.10,"By reason of the abundance of his horses their dust shall cover thee: thy walls shall shake at the noise of the horsemen, and of the wheels, and of the chariots, when he shall enter into thy gates, as men enter into a city wherein is made a breach."
JHN.11.50,"Nor consider that it is expedient for us, that one man should die for the people, and that the whole nation perish not."
PSA.18.28,For thou wilt light my candle: the LORD my God will enlighten my darkness.
NAM.3.6,"And I will cast abominable filth upon thee, and make thee vile, and will set thee as a gazingstock."
JOB.22.13,"And thou sayest, How doth God know? can he judge through the dark cloud?"
ISA.16.1,"Send ye the lamb to the ruler of the land from Sela to the wilderness, unto the mount of the daughter of Zion."
LUK.14.23,"And the lord said unto the servant, Go out into the highways and hedges, and compel them to come in, that my house may be filled."
MRK.1.23,"And there was in their synagogue a man with an unclean spirit; and he cried out,"
JOB.9.11,"Lo, he goeth by me, and I see him not: he passeth on also, but I perceive him not."
ISA.39.6,"Behold, the days come, that all that is in thine house, and that which thy fathers have laid up in store until this day, shall be carried to Babylon: nothing shall be left, saith the LORD."
PSA.23.6,Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the LORD for ever.
ISA.47.2,"Take the millstones, and grind meal: uncover thy locks, make bare the leg, uncover the thigh, pass over the rivers."
PSA.43.3,"O send out thy light and thy truth: let them lead me; let them bring me unto thy holy hill, and to thy tabernacles."
GEN.24.3,"And I will make thee swear by the LORD, the God of heaven, and the God of the earth, that thou shalt not take a wife unto my son of the daughters of the Canaanites, among whom I dwell:"
GEN.22.19,"So Abraham returned unto his young men, and they rose up and went together to Beer-sheba; and Abraham dwelt at Beer-sheba."
JDG.9.56,"¶ Thus God rendered the wickedness of Abimelech, which he did unto his father, in slaying his seventy brethren:"
PRO.19.18,"Chasten thy son while there is hope, and let not thy soul spare for his crying."
JER.35.10,"But we have dwelt in tents, and have obeyed, and done according to all that Jonadab our father commanded us."
JOS.3.1,"And Joshua rose early in the morning; and they removed from Shittim, and came to Jordan, he and all the children of Israel, and lodged there before they passed over."
MAT.13.33,"¶ Another parable spake he unto them; The kingdom of heaven is like unto leaven, which a woman took, and hid in three measures of meal, till the whole was leavened."
2KI.3.24,"And when they came to the camp of Israel, the Israelites rose up and smote the Moabites, so that they fled before them: but they went forward smiting the Moabites, even in their country."
JHN.13.11,"For he knew who should betray him; therefore said he, Ye are not all clean."
JHN.2.2,"And both Jesus was called, and his disciples, to the marriage."
EXO.38.21,"¶ This is the sum of the tabernacle, even of the tabernacle of testimony, as it was counted, according to the commandment of Moses, for the service of the Levites, by the hand of Ithamar, son to Aaron the priest."
PSA.72.12,"For he shall deliver the needy when he crieth; the poor also, and him that hath no helper."
LUK.13.10,And he was teaching in one of the synagogues on the sabbath.
SNG.7.7,"This thy stature is like to a palm tree, and thy breasts to clusters of grapes."
1SA.25.7,"And now I have heard that thou hast shearers: now thy shepherds which were with us, we hurt them not, neither was there ought missing unto them, all the while they were in Carmel."
2CO.8.20,"Avoiding this, that no man should blame us in this abundance which is administered by us:"
ISA.63.1,"Who is this that cometh from Edom, with dyed garments from Bozrah? this that is glorious in his apparel, travelling in the greatness of his strength? I that speak in righteousness, mighty to save."
LUK.20.2,"And spake unto him, saying, Tell us, by what authority doest thou these things? or who is he that gave thee this authority?"
NEH.5.14,"¶ Moreover from the time that I was appointed to be their governor in the land of Judah, from the twentieth year even unto the two and thirtieth year of Artaxerxes the king, that is, twelve years, I and my brethren have not eaten the bread of the governor."
GEN.42.9,"And Joseph remembered the dreams which he dreamed of them, and said unto them, Ye are spies; to see the nakedness of the land ye are come."
1SA.28.24,"And the woman had a fat calf in the house; and she hasted, and killed it, and took flour, and kneaded it, and did bake unleavened bread thereof:"
1TH.4.18,Wherefore comfort one another with these words.
ISA.27.4,"Fury is not in me: who would set the briers and thorns against me in battle? I would go through them, I would burn them together."
JER.2.11,"Hath a nation changed their gods, which are yet no gods? but my people have changed their glory for that which doth not profit."
SNG.7.3,Thy two breasts are like two young roes that are twins.
1CH.21.7,And God was displeased with this thing; therefore he smote Israel.
PRO.25.7,"For better it is that it be said unto thee, Come up hither; than that thou shouldest be put lower in the presence of the prince whom thine eyes have seen."
2TI.1.17,"But, when he was in Rome, he sought me out very diligently, and found me."
