citation,verse
HEB.11.13,"These all died in faith, not having received the promises, but having seen them and embraced them from afar, and having confessed that they were strangers and pilgrims on the earth."
1MA.14.17,"But as soon as they heard that his brother Simon was made high priest in his place, and ruled the country and the cities in it,"
SIR.23.15,"A man who is accustomed to abusive language
    won’t be corrected all the days of his life."
ZEC.6.1,"Again I lifted up my eyes, and saw, and behold, four chariots came out from between two mountains; and the mountains were mountains of bronze."
LEV.9.14,"He washed the innards and the legs, and burned them on the burnt offering on the altar."
NEH.6.17,"Moreover in those days the nobles of Judah sent many letters to Tobiah, and Tobiah’s letters came to them."
JDT.12.11,"And he said to Bagoas the eunuch, who had charge over all that he had, “Go now, and persuade this Hebrew woman who is with you that she come to us, and eat and drink with us."
ISA.53.6,"All we like sheep have gone astray.
    Everyone has turned to his own way;
    and the LORD has laid on him the iniquity of us all."
PSA.41.9,"Yes, my own familiar friend, in whom I trusted,
    who ate bread with me,
    has lifted up his heel against me."
2ES.7.130,"Nevertheless they didn’t believe him or the prophets after him, not even me, who have spoken to them."
