chunk,start_citation,text,sentiment
1490,NUM.24.24,"And ships shall come from the coast of Chittim, and shall afflict Asshur, and shall afflict Eber, and he also shall perish for ever. And Balaam rose up, and went and returned to his place: and Balak also went his way. And Israel abode in Shittim, and the people began to commit whoredom with the daughters of Moab.",3
8885,JHN.13.25,"He then lying on Jesus’ breast saith unto him, Lord, who is it? Jesus answered, He it is, to whom I shall give a sop, when I have dipped it. And when he had dipped the sop, he gave it to Judas Iscariot, the son of Simon. And after the sop Satan entered into him. Then said Jesus unto him, That thou doest, do quickly.",3
3343,2KI.18.5,"He trusted in the LORD God of Israel; so that after him was none like him among all the kings of Judah, nor any that were before him. For he clave to the LORD, and departed not from following him, but kept his commandments, which the LORD commanded Moses. And the LORD was with him; and he prospered whithersoever he went forth: and he rebelled against the king of Assyria, and served him not.",2
5461,PSA.148.12,"Both young men, and maidens; old men, and children: Let them praise the name of the LORD: for his name alone is excellent; his glory is above the earth and heaven. He also exalteth the horn of his people, the praise of all his saints; even of the children of Israel, a people near unto him. Praise ye the LORD.",2
4855,PSA.42.10,"As with a sword in my bones, mine enemies reproach me; while they say daily unto me, Where is thy God? Why art thou cast down, O my soul? and why art thou disquieted within me? hope thou in God: for I shall yet praise him, who is the health of my countenance, and my God. Judge me, O God, and plead my cause against an ungodly nation: O deliver me from the deceitful and unjust man.",3
3235,2KI.6.31,"Then he said, God do so and more also to me, if the head of Elisha the son of Shaphat shall stand on him this day. But Elisha sat in his house, and the elders sat with him; and the king sent a man from before him: but ere the messenger came to him, he said to the elders, See ye how this son of a murderer hath sent to take away mine head? look, when the messenger cometh, shut the door, and hold him fast at the door: is not the sound of his master’s feet behind him? And while he yet talked with them, behold, the messenger came down unto him: and he said, Behold, this evil is of the LORD; what should I wait for the LORD any longer?",3
7435,JOL.1.14,"Sanctify ye a fast, call a solemn assembly, gather the elders and all the inhabitants of the land into the house of the LORD your God, and cry unto the LORD, Alas for the day! for the day of the LORD is at hand, and as a destruction from the Almighty shall it come. Is not the meat cut off before our eyes, yea, joy and gladness from the house of our God?",3
2843,2SA.19.18,"And there went over a ferry boat to carry over the king’s household, and to do what he thought good. And Shimei the son of Gera fell down before the king, as he was come over Jordan; And said unto the king, Let not my lord impute iniquity unto me, neither do thou remember that which thy servant did perversely the day that my lord the king went out of Jerusalem, that the king should take it to his heart. For thy servant doth know that I have sinned: therefore, behold, I am come the first this day of all the house of Joseph to go down to meet my lord the king.",3
7636,ZEC.2.9,"For, behold, I will shake mine hand upon them, and they shall be a spoil to their servants: and ye shall know that the LORD of hosts hath sent me. Sing and rejoice, O daughter of Zion: for, lo, I come, and I will dwell in the midst of thee, saith the LORD. And many nations shall be joined to the LORD in that day, and shall be my people: and I will dwell in the midst of thee, and thou shalt know that the LORD of hosts hath sent me unto thee.",2
5195,PSA.104.14,"He causeth the grass to grow for the cattle, and herb for the service of man: that he may bring forth food out of the earth; And wine that maketh glad the heart of man, and oil to make his face to shine, and bread which strengtheneth man’s heart. The trees of the LORD are full of sap; the cedars of Lebanon, which he hath planted;",2
1923,DEU.32.11,"As an eagle stirreth up her nest, fluttereth over her young, spreadeth abroad her wings, taketh them, beareth them on her wings: So the LORD alone did lead him, and there was no strange god with him. He made him ride on the high places of the earth, that he might eat the increase of the fields; and he made him to suck honey out of the rock, and oil out of the flinty rock;",2
5028,PSA.76.3,"There brake he the arrows of the bow, the shield, and the sword, and the battle. Selah. Thou art more glorious and excellent than the mountains of prey. The stouthearted are spoiled, they have slept their sleep: and none of the men of might have found their hands.",2
7428,HOS.14.2,"Take with you words, and turn to the LORD: say unto him, Take away all iniquity, and receive us graciously: so will we render the calves of our lips. Asshur shall not save us; we will not ride upon horses: neither will we say any more to the work of our hands, Ye are our gods: for in thee the fatherless findeth mercy. I will heal their backsliding, I will love them freely: for mine anger is turned away from him.",2
2883,2SA.22.47,"The LORD liveth; and blessed be my rock; and exalted be the God of the rock of my salvation. It is God that avengeth me, and that bringeth down the people under me, And that bringeth me forth from mine enemies: thou also hast lifted me up on high above them that rose up against me: thou hast delivered me from the violent man.",2
1673,DEU.4.15,"Take ye therefore good heed unto yourselves; for ye saw no manner of similitude on the day that the LORD spake unto you in Horeb out of the midst of the fire: Lest ye corrupt yourselves, and make you a graven image, the similitude of any figure, the likeness of male or female, The likeness of any beast that is on the earth, the likeness of any winged fowl that flieth in the air,",2
