chunk,start_citation,text,sentiment
7255,DAN.2.7,"They answered the second time and said, 'Let the king tell his servants the dream, and we will show the interpretation.' The king answered, 'I know of a certainty that you are trying to gain time, because you see the thing has gone from me. But if you don’t make known to me the dream, there is but one law for you; for you have prepared lying and corrupt words to speak before me, until the situation changes. Therefore tell me the dream, and I will know that you can show me its interpretation.'",3
1423,NUM.18.12,"'I have given to you all the best of the oil, all the best of the vintage, and of the grain, the first fruits of them which they give to the LORD. The first-ripe fruits of all that is in their land, which they bring to the LORD, shall be yours. Everyone who is clean in your house shall eat of it. 'Everything devoted in Israel shall be yours.",2
6130,ISA.37.38,"As he was worshiping in the house of Nisroch his god, Adrammelech and Sharezer his sons struck him with the sword; and they escaped into the land of Ararat. Esar Haddon his son reigned in his place. In those days Hezekiah was sick and near death. Isaiah the prophet, the son of Amoz, came to him, and said to him, 'The LORD says, ‘Set your house in order, for you will die, and not live.’ Then Hezekiah turned his face to the wall and prayed to the LORD,",3
5945,ISA.9.6,"For a child is born to us. A son is given to us; and the government will be on his shoulders. His name will be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace. Of the increase of his government and of peace there shall be no end, on David’s throne, and on his kingdom, to establish it, and to uphold it with justice and with righteousness from that time on, even forever. The zeal of the LORD of Armies will perform this. The Lord sent a word into Jacob, and it falls on Israel.",2
11875,EPH.1.22,"He put all things in subjection under his feet, and gave him to be head over all things for the assembly, which is his body, the fullness of him who fills all in all. You were made alive when you were dead in transgressions and sins,",2
7131,EZK.36.34,"The land that was desolate will be tilled instead of being a desolation in the sight of all who passed by. They will say, ‘This land that was desolate has become like the garden of Eden. The waste, desolate, and ruined cities are fortified and inhabited.’ Then the nations that are left around you will know that I, the LORD, have built the ruined places and planted that which was desolate. I, the LORD, have spoken it, and I will do it.’",2
8982,2MA.3.13,"But Heliodorus, because of the king’s command given him, said that in any case this money must be confiscated for the king’s treasury. So having appointed a day, he entered in to direct the inquiry concerning these matters; and there was no small distress throughout the whole city. The priests, prostrating themselves before the altar in their priestly garments, and called toward heaven upon him who gave the law concerning deposits, that he should preserve these treasures safe for those who had deposited them.",3
5255,PSA.109.10,"Let his children be wandering beggars. Let them be sought from their ruins. Let the creditor seize all that he has. Let strangers plunder the fruit of his labor. Let there be no one to extend kindness to him, neither let there be anyone to have pity on his fatherless children.",3
2110,JOS.19.9,"Out of the part of the children of Judah was the inheritance of the children of Simeon; for the portion of the children of Judah was too much for them. Therefore the children of Simeon had inheritance in the middle of their inheritance. The third lot came up for the children of Zebulun according to their families. The border of their inheritance was to Sarid. Their border went up westward, even to Maralah, and reached to Dabbesheth. It reached to the brook that is before Jokneam.",1
387,GEN.39.12,"She caught him by his garment, saying, 'Lie with me!' He left his garment in her hand, and ran outside. When she saw that he had left his garment in her hand, and had run outside, she called to the men of her house, and spoke to them, saying, 'Behold, he has brought a Hebrew in to us to mock us. He came in to me to lie with me, and I cried with a loud voice.'",3
