chunk,start_citation,text
0,GEN.1.1,"In the beginning God created the heavens and the earth. The earth was formless and empty, and darkness covered the surface of the deep. The Spirit of God moved over the surface of the waters. God said, “Let there be light!” and there was light."
1,GEN.1.4,"God saw that the light was good, and he separated the light from the darkness. God called the light “day,” and he called the darkness “night.” So there was evening, and then the morning, making day one. God said, “Let there be an expanse in the middle of the waters to divide the waters.”"
2,GEN.1.7,"So God made an expanse to divide the waters that were above from the waters that were below. And that's what happened. God called the expanse, “sky.” So there was evening, and then the morning, making day two. God said, “Let the waters below the sky collect together in one place so that the land may appear.” And so it was."
3,GEN.1.10,"God called the land “earth” and the waters “seas.” God saw that it was good. God said, “Let the earth produce vegetation—plants that produce seeds and trees that produce seeded fruit—each one according to its own kind.” And that's what happened. The earth produced vegetation—plants that produce seeds and trees that produce seeded fruit—each one according to its own kind. God saw that it was good."
4,GEN.1.13,"So there was evening, and then the morning, making day three. God said, “Let there be lights in the sky to separate day from night, and to provide a way to mark seasons, days, and years. They shall be lights in the sky to shine on the earth.” And that's what happened."
5,GEN.1.16,"God created two great lights: the larger one in charge of the day, and the smaller one in charge of the night. He created the stars too. God placed these lights in the sky to shine upon the earth, to be in charge of the day and in charge of the night, and to separate light from darkness. God saw that it was good."
6,GEN.1.19,"So there was evening, and then the morning, making day four. God said, “Let the waters be full of living creatures, and let birds fly above the earth in the sky.” So God created huge sea creatures and all the living things that swim and fill the waters, each one according to its own kind; and every bird that flies, each one according to its own kind. God saw that it was good."
7,GEN.1.22,"God blessed them and said, “Reproduce and increase, and fill the waters of the seas, and let the birds increase on the earth.” So there was evening, and then the morning, making day five. God said, “Let the land produce living creatures, each one according to its own kind—the livestock, the creatures that run along the ground, and the wild animals, each one according to its own kind.” And that's what happened."
8,GEN.1.25,"God made the wild animals, the livestock, and the creatures that run along the ground, all according to their own kind. God saw that it was good. God said, “Let us make human beings in our image who are like us. They will have authority over the fish of the sea and the birds of the air, over the livestock, and over the whole of the earth and every creature that moves on it.” So God created human beings in his own image. He created them in the image of God. He created them male and female."
9,GEN.1.28,"God blessed them and told them, “Reproduce, increase, and spread throughout the earth and control it; exercise authority over the fish of the sea and the birds of the air and every creature that moves on the earth.” God said, “Look, I'm giving you as your food every seed-bearing plant anywhere on earth, and every tree that produces fruit with seeds. I'm giving all the green plants to all the land animals, to the birds, and to every creature that moves on the earth—to every living thing.” And that's what happened."
10,GEN.1.31,"God saw everything that he had created, and yes, it was very good. So there was evening, and then the morning, making day six. The creation of the heavens, the earth, and everything in them was complete. By the time the seventh day came, God had finished the work he'd done, and he rested on the seventh day from all the work he'd been doing."
