,citation,verse
6731,JDG.8.12,"And when Zebah and Zalmunna fled, he pursued after them, and took the two kings of Midian, Zebah and Zalmunna, and discomfited all the host."
23334,MAT.7.18,"A good tree cannot bring forth evil fruit, neither can a corrupt tree bring forth good fruit."
30362,JAS.5.8,Be ye also patient; stablish your hearts: for the coming of the Lord draweth nigh.
10661,1CH.10.2,"And the Philistines followed hard after Saul, and after his sons; and the Philistines slew Jonathan, and Abinadab, and Malchi-shua, the sons of Saul."
8625,2SA.22.23,"For all his judgments were before me: and as for his statutes, I did not depart from them."
6621,JDG.4.22,"And, behold, as Barak pursued Sisera, Jael came out to meet him, and said unto him, Come, and I will shew thee the man whom thou seekest. And when he came into her tent, behold, Sisera lay dead, and the nail was in his temples."
7879,1SA.25.18,"¶ Then Abigail made haste, and took two hundred loaves, and two bottles of wine, and five sheep ready dressed, and five measures of parched corn, and an hundred clusters of raisins, and two hundred cakes of figs, and laid them on asses."
14086,PSA.14.6,"Ye have shamed the counsel of the poor, because the LORD is his refuge."
13368,JOB.21.13,"They spend their days in wealth, and in a moment go down to the grave."
48,GEN.2.18,"¶ And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him."
25817,LUK.20.38,"For he is not a God of the dead, but of the living: for all live unto him."
5453,DEU.21.6,"And all the elders of that city, that are next unto the slain man, shall wash their hands over the heifer that is beheaded in the valley:"
20828,EZK.17.3,"And say, Thus saith the Lord GOD; A great eagle with great wings, longwinged, full of feathers, which had divers colours, came unto Lebanon, and took the highest branch of the cedar:"
9148,1KI.11.40,"Solomon sought therefore to kill Jeroboam. And Jeroboam arose, and fled into Egypt, unto Shishak king of Egypt, and was in Egypt until the death of Solomon."
23249,MAT.5.15,"Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house."
11941,2CH.34.8,"¶ Now in the eighteenth year of his reign, when he had purged the land, and the house, he sent Shaphan the son of Azaliah, and Maaseiah the governor of the city, and Joah the son of Joahaz the recorder, to repair the house of the LORD his God."
30997,REV.18.4,"And I heard another voice from heaven, saying, Come out of her, my people, that ye be not partakers of her sins, and that ye receive not of her plagues."
6527,JDG.1.18,"Also Judah took Gaza with the coast thereof, and Askelon with the coast thereof, and Ekron with the coast thereof."
13556,JOB.29.24,"If I laughed on them, they believed it not; and the light of my countenance they cast not down."
29471,COL.1.6,"Which is come unto you, as it is in all the world; and bringeth forth fruit, as it doth also in you, since the day ye heard of it, and knew the grace of God in truth:"
11572,2CH.18.30,"Now the king of Syria had commanded the captains of the chariots that were with him, saying, Fight ye not with small or great, save only with the king of Israel."
22812,ZEP.2.7,"And the coast shall be for the remnant of the house of Judah; they shall feed thereupon: in the houses of Ashkelon shall they lie down in the evening: for the LORD their God shall visit them, and turn away their captivity."
9296,1KI.16.13,"For all the sins of Baasha, and the sins of Elah his son, by which they sinned, and by which they made Israel to sin, in provoking the LORD God of Israel to anger with their vanities."
8476,2SA.17.27,"¶ And it came to pass, when David was come to Mahanaim, that Shobi the son of Nahash of Rabbah of the children of Ammon, and Machir the son of Ammiel of Lo-debar, and Barzillai the Gileadite of Rogelim,"
25952,LUK.23.17,(For of necessity he must release one unto them at the feast.)
6815,JDG.10.4,"And he had thirty sons that rode on thirty ass colts, and they had thirty cities, which are called Havoth-jair unto this day, which are in the land of Gilead."
23347,MAT.8.2,"And, behold, there came a leper and worshipped him, saying, Lord, if thou wilt, thou canst make me clean."
13220,JOB.15.17,"I will shew thee, hear me; and that which I have seen I will declare;"
11989,2CH.35.23,"And the archers shot at king Josiah; and the king said to his servants, Have me away; for I am sore wounded."
18421,ISA.40.1,"Comfort ye, comfort ye my people, saith your God."
9324,1KI.17.7,"And it came to pass after a while, that the brook dried up, because there had been no rain in the land."
30539,2PE.3.17,"Ye therefore, beloved, seeing ye know these things before, beware lest ye also, being led away with the error of the wicked, fall from your own stedfastness."
20691,EZK.12.11,"Say, I am your sign: like as I have done, so shall it be done unto them: they shall remove and go into captivity."
5257,DEU.12.17,"¶ Thou mayest not eat within thy gates the tithe of thy corn, or of thy wine, or of thy oil, or the firstlings of thy herds or of thy flock, nor any of thy vows which thou vowest, nor thy freewill offerings, or heave offering of thine hand:"
28507,1CO.7.20,Let every man abide in the same calling wherein he was called.
21744,DAN.1.7,"Unto whom the prince of the eunuchs gave names: for he gave unto Daniel the name of Belteshazzar; and to Hananiah, of Shadrach; and to Mishael, of Meshach; and to Azariah, of Abed-nego."
30278,JAS.1.12,"Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him."
19437,JER.20.15,"Cursed be the man who brought tidings to my father, saying, A man child is born unto thee; making him very glad."
18288,ISA.33.9,The earth mourneth and languisheth: Lebanon is ashamed and hewn down: Sharon is like a wilderness; and Bashan and Carmel shake off their fruits.
7860,1SA.24.21,"Swear now therefore unto me by the LORD, that thou wilt not cut off my seed after me, and that thou wilt not destroy my name out of my father’s house."
10688,1CH.11.15,"¶ Now three of the thirty captains went down to the rock to David, into the cave of Adullam; and the host of the Philistines encamped in the valley of Rephaim."
21342,EZK.34.29,"And I will raise up for them a plant of renown, and they shall be no more consumed with hunger in the land, neither bear the shame of the heathen any more."
