,citation,verse
24932,SIR.22.9,"Weep for the dead, for he lacks light.
    Weep for a fool, for he lacks understanding.
  Weep more sweetly for the dead, because he has found rest,
    but the life of the fool is worse than death."
24855,SIR.19.17,"Reprove your neighbor before you threaten him;
    and give place to the law of the Most High.  [18-19]"
1789,EXO.10.12,"The LORD said to Moses, “Stretch out your hand over the land of Egypt for the locusts, that they may come up on the land of Egypt, and eat every herb of the land, even all that the hail has left.”"
3239,LEV.17.4,and hasn’t brought it to the door of the Tent of Meeting to offer it as an offering to the LORD before the LORD’s tabernacle: blood shall be imputed to that man. He has shed blood. That man shall be cut off from among his people.
15642,PSA.105.36,"He struck also all the firstborn in their land,
    the first fruits of all their manhood."
28200,2ES.7.41,"neither summer, nor spring, nor heat, nor winter, neither frost, nor cold, nor hail, nor rain, nor dew,"
32618,JHN.5.8,"Jesus said to him, “Arise, take up your mat, and walk.”"
28706,2ES.15.35,"They will clash against one another. They will pour out a heavy storm on the earth, even their own storm. There will be blood from the sword to the horse’s belly,"
4459,NUM.24.13,"‘If Balak would give me his house full of silver and gold, I can’t go beyond the LORD’s word, to do either good or bad from my own mind. I will say what the LORD says’?"
30144,MAT.18.16,"But if he doesn’t listen, take one or two more with you, that at the mouth of two or three witnesses every word may be established."
