,citation,verse
13654,EZK.33.15,"if the wicked restore the pledge, give again that which he had taken by robbery, walk in the statutes of life, committing no iniquity, he will surely live. He will not die."
28832,2CO.2.12,"Now when I came to Troas for the Good News of Messiah, and when a door was opened to me in the Lord,"
13065,EZK.12.26,"Again the LORD’s word came to me, saying,"
30020,HEB.4.10,"For he who has entered into his rest has himself also rested from his works, as God did from his."
18150,PRO.19.18,"Discipline your son, for there is hope;
    don’t be a willing party to his death."
2834,LEV.5.4,"“‘Or if anyone swears rashly with his lips to do evil or to do good—whatever it is that a man might utter rashly with an oath, and it is hidden from him—when he knows of it, then he will be guilty of one of these."
7518,1SA.16.8,"Then Jesse called Abinadab, and made him pass before Samuel. He said, “The LORD has not chosen this one, either.”"
8606,2SA.23.38,"Ira the Ithrite, Gareb the Ithrite,"
1475,GEN.49.2,"Assemble yourselves, and hear, you sons of Jacob.
    Listen to Israel, your father."
15660,PSA.37.3,"Trust in the LORD, and do good.
    Dwell in the land, and enjoy safe pasture."
